id_imovel,imovel,telefone,fax,email,cj,num_varas_instaladas,entrancia,comarca_tjsp,dist_capital,tensao_eletrica,endereco_lougradouro,endereco_cep,endereco_municipio,endereco_uf
225,Fórum Dr. Luiz Guilherme Wertheimer,(19) 2156-9102,Não Informado,portoferreiraadm@tjsp.jus.br,Pirassununga,3,Entrância Inicial,Porto Ferreira,207.25,220V,"Rua Doutor Carlindo Valeriani , 525 - Centro",13660-017,Porto Ferreira,SP
226,Fórum Potirendaba,(17) 3827-4515,Não Informado,potirendabaadm@tjsp.jus.br,São José do Rio Preto,2,Entrância Inicial,Potirendaba,396.33,110V,"Rua Pedro Siqueira , 1042 - Jardim do Bosque",15105-000,Potirendaba,SP
227,Fórum Praia Grande - (Dr. Guilherme Penteado Campos,Não Informado,Não Informado,praiagdeadm@tjsp.jus.br,Santos,13,Entrância Final,Praia Grande,56.17,110V,"Avenida Doutor Roberto de Almeida Vinhas , 9101 - Vila Mirim",11705-900,Praia Grande,SP
228,Fórum Presidente Epitácio,(18) 2146-1301,Não Informado,epitacioadm@tjsp.jus.br,Presidente Venceslau,3,Entrância Inicial,Presidente Epitácio,596.24,220V,"Avenida Pres. Vargas , 01-31 - centro",19470-041,Presidente Epitácio,SP
229,Fórum Ministro Pedro Lessa,(18) 2144-9001,(18) 2144-9001,bernardesadm@tjsp.jus.br,Presidente Prudente,1,Entrância Inicial,Presidente Bernardes,532.4,110V,"Rua Dr. Armando Falcone , s/n - Centro",19300-000,Presidente Bernardes,SP
230,Fórum Presidente Prudente - Francisco de Souza Nogueira,Não Informado,Não Informado,prudenteadm@tjsp.jus.br,Presidente Prudente,13,Entrância Final,Presidente Prudente,512.04,220V,"Avenida Coronel José Soares Marcondes , 2201 - Vila Comercial",19013-050,Presidente Prudente,SP
231,Fórum Presidente Venceslau - J.P.C. Cardoso,(18) 2145-1313,Não Informado,venceslauadm@tjsp.jus.br,Presidente Venceslau,3,Entrância Intermediária,Presidente Venceslau,565.55,110V,"Avenida Faustino Rodrigues Azenha , 1500 - Jd Europa",19400-117,Presidente Venceslau,SP
232,Fórum I de Promissão,Não Informado,Não Informado,promissaoadm@tjsp.jus.br,Lins,2,Entrância Inicial,Promissão,399.32,110V,"Avenida Rio Grande , 730 - Centro",16370-000,Promissão,SP
233,Fórum I da Comarca de Quatá,(18) 3366-1003,(18) 3366-1564,quataadm@tjsp.jus.br,Assis,1,Entrância Inicial,Quatá,440.43,220V,"Avenida Rui Barbosa , 844 - Centro",19780-000,Quatá,SP
234,Fórum Desembargador Ferreira França,(12) 2124-9911,Não Informado,queluzadm@tjsp.jus.br,Guaratinguetá,1,Entrância Inicial,Queluz,221.2,110V,"Praça Portugal , 174 - Centro",12800-000,Queluz,SP
235,Fórum Rancharia I (Desembargador Volney Correa Leite de Moraes Júnior),Não Informado,Não Informado,ranchariaadm@tjsp.jus.br,Presidente Prudente,2,Entrância Inicial,Rancharia,460.04,220V,"Rua Marcílio Dias , 615 - Centro",19600-035,Rancharia,SP
236,Fórum da Comarca de Regente Feijó I,(18) 3279-9501,Não Informado,regfeijoadm@tjsp.jus.br,Presidente Prudente,1,Entrância Inicial,Regente Feijó,500.29,110V,"Rua Carlos Beltrami , 10 - Portal do Sol",19570-000,Regente Feijó,SP
237,Fórum de Registro I (Dr. Cyro Camargo da Fonseca),(13) 2130-5922,Não Informado,registroadm@tjsp.jus.br,Registro,5,Entrância Final,Registro,161.17,110V,"Rua Jerônimo Monteiro Lopes , 93 - V. S. Francisco",11900-000,Registro,SP
238,Fórum I Ribeirão Bonito,(16) 3355-9701,Não Informado,ribeiraobonitoadm@tjsp.jus.br,São Carlos,1,Entrância Inicial,Ribeirão Bonito,228.1,220V,"Rua Governador Pedro de Toledo , 231 - Centro",13580-053,Ribeirão Bonito,SP
239,Fórum Ribeirão Pires I,(11) 2192-2414,Não Informado,ribeiraopiresadm@tjsp.jus.br,Santo André,3,Entrância Intermediária,Ribeirão Pires,29.06,220V,"Avenida Prefeito Valdirio Prisco , 150 - Centro",09400-005,Ribeirão Pires,SP
240,Tribunal de Justiça da Comarca de Ribeirão Preto - Prédio I,Não Informado,Não Informado,Não Informado,Ribeirão Preto,30,Entrância Final,Ribeirão Preto,289.85,220V,"Rua Alice Alem Saadi,1010 , 1010 - Nova Ribeirânia",14096-570,Ribeirão Preto,SP
241,Fórum Rio Claro I - (Central) - Desembargador Paulo Colombo Pereira de Queiroz,(19) 3531-6132,Não Informado,rioclaroadm@tjsp.jus.br,Rio Claro,6,Entrância Final,Rio Claro,157.95,110V,"Avenida 5 , 535 - Centro",13500-380,Rio Claro,SP
242,Fórum de Rio das Pedras,(19) 2174-1604,(19) 2174-1605,riodaspedrasadm@tjsp.jus.br,Piracicaba,1,Entrância Inicial,Rio das Pedras,126.38,110V,"Rua Prudente de Morais , 136 - Centro",13390-003,Rio das Pedras,SP
243,Fórum Rosana,(18) 2204-5051,(18) 0000-0000,rosanaspadm@tjsp.jus.br,Presidente Venceslau,1,Entrância Inicial,Rosana,665.78,220V,"Rua Curimbatá , 788/802 - Primavera",19274-000,Rosana,SP
244,JUIZ ALBERTO GENTIL DE ALMEIDA PEDROSO FILHO,(12) 3203-1606,Não Informado,roseiraadm@tjsp.jus.br,Guaratinguetá,2,Entrância Inicial,Roseira,154.01,110V,"Rua Dom Epaminondas , 54 - Centro",12580-000,Roseira,SP
245,Fórum Salesópolis (Juiz Messias José de Melo Souza),(11) 2838-7716,Não Informado,salesopolisadm@tjsp.jus.br,São José dos Campos,1,Entrância Inicial,Salesópolis,80.55,220V,"Rua Antonio Pereira de Souza , 30 - Centro",08970-000,Salesópolis,SP
246,Fórum Salto I (Principal),(11) 3414-4316,Não Informado,saltoadm@tjsp.jus.br,Itu,3,Entrância Intermediária,Salto,76.83,110V,"Avenida Dom Pedro II , 261 - Centro",13320-240,Salto,SP
247,Fórum de Santa Adélia I,(17) 3571-3405,Não Informado,santadeliaadm@tjsp.jus.br,Catanduva,0,Entrância Inicial,Santa Adélia,339.63,220V,"Praça Doutor Adhemar de Barros , 255 - Centro",15950-000,Santa Adélia,SP
248,Desembargador Adérito Pereira da Silva,(19) 3026-8332,(19) 3026-8332,santabarbaraadm@tjsp.jus.br,Americana,5,Entrância Final,Santa Bárbara d'Oeste,118.83,110V,"Praça D.Carolina , 40 - Jardim Panambi",13450-515,Santa Bárbara d'Oeste,SP
249,Fórum Desembargador Roberto Maldonado Loureiro,(12) 2138-5701,(12) 2138-5702,santabrancaadm@tjsp.jus.br,São José dos Campos,2,Entrância Inicial,Santa Branca,78.51,220V,"Rua Coronel Alfredo de Lima , 90 - Centro",12380-000,Santa Branca,SP
250,Fórum Santa Cruz das Palmeiras I,(19) 3672-9554,Não Informado,stacruzpalmeirasadm@tjsp.jus.br,Casa Branca,1,Entrância Inicial,Santa Cruz das Palmeiras,201.42,220V,"Avenida do Café , 665 - Centro",13650-013,Santa Cruz das Palmeiras,SP
251,Fórum Doutor Augusto José da Costa,(14) 2227-1422,Não Informado,stacruzpardoadm@tjsp.jus.br,Ourinhos,4,Entrância Intermediária,Santa Cruz do Rio Pardo,314.61,110V,"Av Doutor Cyro de Mello Camarinha , 606 - Centro",18900-073,Santa Cruz do Rio Pardo,SP
252,Fórum Santa Fé do Sul I,Não Informado,Não Informado,santafeadm@tjsp.jus.br,Jales,3,Entrância Inicial,Santa Fé do Sul,577.5,110V,"Avenida Conselheiro Antonio Prado , 1662 - Centro",15775-000,Santa Fé do Sul,SP
253,Fórum  Santa Isabel I,(11) 4635-7951,Não Informado,santaisabeladm@tjsp.jus.br,Guarulhos,3,Entrância Inicial,Santa Isabel,49.58,110V,"Praça da Bandeira , s/n - Centro",07500-000,Santa Isabel,SP
254,Fórum Prof. Antonio Calixto Leal,(19) 2148-5051,Não Informado,santaritaadm@tjsp.jus.br,Pirassununga,2,Entrância Inicial,Santa Rita do Passa Quatro,221.88,220V,"Rua Victor Annibal Rosin , 251 - Jd. América",13670-970,Santa Rita do Passa Quatro,SP
255,Fórum Santa Rosa de Viterbo,(16) 3954-9201,Não Informado,santarosaadm@tjsp.jus.br,Ribeirão Preto,1,Entrância Inicial,Santa Rosa de Viterbo,242.5,220V,"Rua Francisco Carvalho de Andrade , 121 - Centro",14270-000,Santa Rosa de Viterbo,SP
256,Fórum I Santo Anastácio,(18) 3263-9601,(18) 3263-9602,santoanastacioadm@tjsp.jus.br,Presidente Venceslau,1,Entrância Inicial,Santo Anastácio,543.1,220V,"Praça Ataliba Leonel , 251 - Centro",19360-000,Santo Anastácio,SP
257,Fórum Santo André I,(11) 4573-3333,Não Informado,santoandreadm@tjsp.jus.br,Santo André,21,Entrância Final,Santo André,16.31,110V,"Praça IV Centenário , 03 - Centro",09040-906,Santo André,SP
258,Fórum Santos I,(13) 3346-5782,Não Informado,admsantos@tjsp.jus.br,Santos,5,Entrância Final,Santos,55.26,220V,"Praça Patriarca José Bonifácio , s/nº - Centro",11013-190,Santos,SP
259,Fórum Santos II (Cível),(13) 3346-5782,Não Informado,admsantos@tjsp.jus.br,Santos,1,Entrância Final,Santos,55.26,220V,"Rua Bittencourt , 144 - Vila Nova",11013-300,Santos,SP
260,Fórum Santos III (Anexo) (Desativado),Não Informado,Não Informado,Não Informado,Não Informado,0,Não Informado,Não Informado,,Não Informado,"Avenida São Francisco , 242 - Centro",11013-202,Santos,SP
261,Fórum Juiz Francisco Chiaradia Netto - São Bento do Sapucaí,(12) 2138-2402,Não Informado,saobento@tjsp.jus.br,Taubaté,0,Entrância Inicial,São Bento do Sapucaí,132.99,110V,"Rua Capitão Procópio Marcondes Azeredo , 43 - Centro",12490-000,São Bento do Sapucaí,SP
262,Fórum Ministro Nelson Hungria I,(11) 2845-9583,Não Informado,saobernardoadm@tjsp.jus.br,São Bernardo do Campo,27,Entrância Final,São Bernardo do Campo,17.77,110V,"Rua 23 de Maio , 107 - Vila Tereza",09606-000,São Bernardo do Campo,SP
263,Fórum São Caetano do Sul I,(11) 3489-2506,Não Informado,saocaetanoadm@tjsp.jus.br,Santo André,8,Entrância Final,São Caetano do Sul,12.02,110V,"Praça Doutor Joviano Pacheco de Aguirre , s/nº - Jardim São Caetano",09581-540,São Caetano do Sul,SP
264,Fórum São Carlos I - (Criminal),(16) 2107-2420,Não Informado,saocarlosadm@tjsp.jus.br,São Carlos,3,Entrância Final,São Carlos,213.29,220V,"Rua Conde do Pinhal , 2061 - Centro",13560-648,São Carlos,SP
265,Fórum São Carlos II - (Civel),(16) 2106-8911,Não Informado,saocarlosadm@tjsp.jus.br,São Carlos,7,Entrância Final,São Carlos,213.29,110V,"Rua Sorbone , 375 - Centreville",13560-760,São Carlos,SP
266,Fórum I Dr. Plínio Barreto,(19) 3366-2600,(19) 3633-1033,saojoaoadm@tjsp.jus.br,São João da Boa Vista,4,Entrância Final,São João da Boa Vista,176.35,110V,"Avenida Doutor Octávio da Silva Bastos , 2.150 - Jardim Nova São João",13874-149,São João da Boa Vista,SP
267,Fórum São Joaquim da Barra I,(16) 2190-5310,Não Informado,sãojoaquimadm@tjsp.jus.br,Ituverava,2,Entrância Inicial,São Joaquim da Barra,353.0,110V,"Travessa Cleiton Zanini , 300 - Jardim Canadá",14600-000,São Joaquim da Barra,SP
268,Fórum Jovino de Syllos - São José do Rio Pardo -,(19) 2181-1701,(19) 2181-1701,riopardoadm@tjsp.jus.br,Casa Branca,3,Entrância Inicial,São José do Rio Pardo,218.59,220V,"Praça dos Três Poderes , 03 - Centro",13720-000,São José do Rio Pardo,SP
269,Fórum São José do Rio Preto I - (Central),(17) 3354-2613,(17) 3354-2616,riopretoadm@tjsp.jus.br,São José do Rio Preto,9,Entrância Final,São José do Rio Preto,414.42,110V,"Rua Marechal Deodoro da Fonseca , 3036 - Centro",15010-902,São José do Rio Preto,SP
270,Fórum São José dos Campos I (Principal),Não Informado,Não Informado,sjcamposadm@tjsp.jus.br,São José dos Campos,25,Entrância Final,São José dos Campos,86.77,220V,"Avenida Salmão , 678 - Parque Residencial Aquarius",12246-260,São José dos Campos,SP
271,Promotor Francisco Esmeraldo de Melo,(12) 3671-7304,Não Informado,paraitingaadm@tjsp.jus.br,Taubaté,1,Entrância Inicial,São Luiz do Paraitinga,140.1,110V,"Via de Acesso Vereador José Adolfo Pinto de Souza , s/n - Várzea dos Passarinhos",12141-302,São Luiz do Paraitinga,SP
272,"Fórum Desembargador ""Julio César de Faria""",Não Informado,Não Informado,saomanueladm@tjsp.jus.br,Botucatu,5,Entrância Inicial,São Manuel,217.7,110V,"Rua Ettore Targa , s/nº - Centro",18652330,São Manuel,SP
273,"Fórum ""Desembargador Luiz Gonzaga de Campos Gouvêa""",(15) 3415-5556,Não Informado,smarcanjoadm@tjsp.jus.br,Itapetininga,1,Entrância Inicial,São Miguel Arcanjo,143.33,220V,"Rua Bento França , 332 - Centro",18230-000,São Miguel Arcanjo,SP
274,"Fórum ""Francisco Mendes de Aguiar""",(19) 2182-5160,(19) 0000-0000,saopedroadm@tjsp.jus.br,Piracicaba,4,Entrância Inicial,São Pedro,171.57,220V,"Praça Adolpho Bonifácio Bragaia , s/nº - Centro",13520-028,São Pedro,SP
275,Fórum São Roque I,(11) 2550-5292,Não Informado,saoroqueadm@tjsp.jus.br,Sorocaba,3,Entrância Intermediária,São Roque,50.91,110V,"Avenida John Fitzgerald Kennedy , 355 - Centro",18130-510,São Roque,SP
276,Ed. Promotor Carlos Siqueira Neto,(12) 2163-1851,Não Informado,saosebastiaospadm@tjsp.jus.br,Caraguatatuba,4,Entrância Intermediária,São Sebastião,127.07,110V,"Rua Emídio Orselli , 333 - Varadouro",11611-627,São Sebastião,SP
277,Fórum da Comarca de São Sebastião da Grama,(19) 3646-9601,Não Informado,gramaadm@tjsp.jus.br,Casa Branca,1,Entrância Inicial,São Sebastião da Grama,205.14,220V,"Praça São Sebastião , 126 - Centro",13790-000,São Sebastião da Grama,SP
278,Fórum de São Simão,(16) 3984-9906,Não Informado,Não Informado,Ribeirão Preto,1,Entrância Inicial,São Simão,248.51,110V,"Rua 20 de Agosto , 258 - Centro",14200-000,São Simão,SP
279,Fórum DR. ANTONIO FELICIANO,(13) 2102-6462,(13) 2102-6412,Não Informado,Santos,13,Entrância Final,São Vicente,52.4,110V,"Rua Jacob Emerich , 1367 - Parque Bitarú",11310-906,São Vicente,SP
280,Fórum Serra Negra I - (Principal),(19) 2152-5511,(19) 2152-5252,Não Informado,Amparo,2,Entrância Inicial,Serra Negra,104.29,110V,"Praça Barão do Rio Branco , 71 - centro",13930-073,Serra Negra,SP
281,Fórum Serrana,(16) 2569-2007,Não Informado,serranaadm@tjsp.jus.br,Ribeirão Preto,2,Entrância Inicial,Serrana,277.96,110V,"Avenida Habib Jabali , 500 - Jardim Boa Vista",14150-000,Serrana,SP
282,Fórum Sertãozinho I,(16) 3521-1554,Não Informado,sertaozinhoadm@tjsp.jus.br,Ribeirão Preto,6,Entrância Final,Sertãozinho,301.98,110V,"Avenida Pedro Strini , 71 - Jd. América",14160-260,Sertãozinho,SP
283,"Fórum ""Dr. Alfredo de Carvalho Pinto""",(19) 3955-9520,Não Informado,socorroadm@tjsp.jus.br,Amparo,2,Entrância Inicial,Socorro,106.97,110V,"Praça 9 de Julho , 222 - Centro",13960-000,Socorro,SP
284,Fórum Sorocaba I - Ministro Piza e Almeida,Não Informado,Não Informado,sorocabaadm@tjsp.jus.br,Sorocaba,39,Entrância Final,Sorocaba,83.96,110V,"Rua 28 de Outubro , 691 - Alto da Boa Vista",18087-080,Sorocaba,SP
285,Fórum Sumaré I,(19) 3309-2648,Não Informado,sumareadm@tjsp.jus.br,Americana,8,Entrância Final,Sumaré,103.32,110V,"Rua Antonio de Carvalho , 170 - Centro",13170-901,Sumaré,SP
286,Fórum Suzano I - Cível - Criminal - JEC- Anexo das Fazendas,Não Informado,Não Informado,suzanoadm@tjsp.jus.br,Mogi das Cruzes,7,Entrância Final,Suzano,33.13,110V,"Avenida Paulo Portela , s/n - Jd. Paulista",08675-230,Suzano,SP
287,Fórum Tabapuã,(17) 3562-9901,Não Informado,tabapuaadm@tjsp.jus.br,Catanduva,1,Entrância Inicial,Tabapuã,378.58,220V,"Rua Eugênio Ulian , 1265 - centro",15880-023,Tabapuã,SP
288,Fórum Taboão da Serra I - (Principal),(11) 2844-1032,Não Informado,taboaoadm@tjsp.jus.br,Itapecerica da Serra,5,Entrância Final,Taboão da Serra,13.35,110V,"Rua Mario Latorre , 96 - Pq. Pinheiros",06767-230,Taboão da Serra,SP
289,Fórum Tambaú,(19) 2184-5107,Não Informado,tambauadm@tjsp.jus.br,Casa Branca,1,Entrância Inicial,Tambaú,215.13,220V,"Rua Campos Salles , 345 - Centro",13710-000,Tambaú,SP
290,Fórum Dr. Acrísio Pires Domingues,Não Informado,(17) 2221-5158,tanabiadm@tjsp.jus.br,São José do Rio Preto,2,Entrância Inicial,Tanabi,449.32,110V,"Praça Stélio Machado Loureiro, , 273 - Centro",15170-000,Tanabi,SP
291,Fórum Taquaritinga I,(16) 3253-9840,Não Informado,taquaritingaadm@tjsp.jus.br,Jaboticabal,4,Entrância Inicial,Taquaritinga,305.93,110V,"Rua Duque de Caxias , 267 - Centro",15900-017,Taquaritinga,SP
292,Fórum I Taquarituba - Joaquim Rodrigues,(14) 3762-8605,Não Informado,taquaritubaadm@tjsp.jus.br,Avaré,1,Entrância Inicial,Taquarituba,265.85,220V,"Avenida Coronel João Quintino , 137 - Centro",18740-000,Taquarituba,SP
293,Fórum Tatuí I,(15) 2102-5548,(15) 2102-5548,tatuiadm@tjsp.jus.br,Itapetininga,5,Entrância Final,Tatuí,126.36,110V,"Avenida Virginio Montezzo Filho , 2009 - Nova Tatui",18278-440,Tatuí,SP
294,Fórum Taubaté I - (Criminal),(12) 2124-9105,Não Informado,taubateadm@tjsp.jus.br,Taubaté,5,Entrância Final,Taubaté,124.73,110V,"Praça Monsenhor Silva Barros , s/n - Centro",12020-070,Taubaté,SP
295,Fórum Cível da Comarca de Taubaté,(12) 2124-9256,Não Informado,taubateadm@tjsp.jus.br,Taubaté,7,Entrância Final,Taubaté,124.73,110V,"Rua José Licurgo Indiani , s/n - Jardim Maria Augusta",12070-070,Taubaté,SP
296,Prédio I - Teodoro Sampaio,(18) 3282-1555,Não Informado,Não Informado,Não Informado,0,Não Informado,Não Informado,,Não Informado,"Rua Manoel Ramos Gonçalves , 573 - VILA SÃO PAULO",19280-000,Teodoro Sampaio,SP
297,Fórum Tietê,Não Informado,Não Informado,tieteadm@tjsp.jus.br,Piracicaba,3,Entrância Inicial,Tietê,120.81,220V,"Av. XI de Agosto , 130 - centro",18530-000,Tietê,SP
298,"""Desembargador Jurandyr Nilsson""",(12) 2125-7370,Não Informado,tremembeadm@tjsp.jus.br,Taubaté,2,Entrância Inicial,Tremembé,128.97,110V,"Rua Costa Cabral , 1183 - Centro",12120-013,Tremembé,SP
299,Fórum Tupã I,Não Informado,Não Informado,tupaadm@tjsp.jus.br,Tupã,6,Entrância Final,Tupã,436.22,220V,"Rua Colômbia , 200 - Jardim América",17605-900,Tupã,SP
300,Fórum I Tupi Paulista,(18) 3851-9801,Não Informado,Não Informado,Dracena,2,Entrância Inicial,Tupi Paulista,561.35,110V,"Rua Tiradentes , 877 - centro",17930-037,Tupi Paulista,SP
301,Fórum Ubatuba - Des. Joaquim de Syllus Cintra,(12) 2138-5902,Não Informado,ubatubaadm@tjsp.jus.br,Caraguatatuba,4,Entrância Intermediária,Ubatuba,160.09,110V,"Rua Sérgio Lucindo da Silva , 571 - Estufa II",11689-416,Ubatuba,SP
302,Fórum da Comarca de Urânia I,(17) 3634-9901,Não Informado,uraniaadm@tjsp.jus.br,Jales,2,Entrância Inicial,Urânia,552.82,220V,"Avenida Barão do Rio Branco , 818 - Centro",15760-000,Urânia,SP
303,Fórum Urupês,(17) 3552-8524,(17) 3552-8524,urupesadm@tjsp.jus.br,Catanduva,1,Entrância Inicial,Urupês,377.48,220V,"Praça Jardim Bela Vista , s/n - Jardim Bela Vista",15850-019,Urupês,SP
304,Fórum Valinhos I - (Principal),(19) 3309-4614,(19) 3309-4614,valinhosadm@tjsp.jus.br,Campinas,3,Entrância Intermediária,Valinhos,73.95,110V,"Rua Professor Ataliba Nogueira, 36 , 36 - Jd. Santo Antonio",13270-660,Valinhos,SP
305,Fórum Desembargador Antonio Marzagão Barbuto,(18) 3401-8602,Não Informado,valparaisoadm@tjsp.jus.br,Araçatuba,1,Entrância Inicial,Valparaíso,505.76,110V,"Rua Padre Mauro Eduardo , s/n - Centro",16880-000,Valparaíso,SP
306,Fórum Vargem Grande do Sul,Não Informado,Não Informado,vgdosuladm@tjsp.jus.br,São João da Boa Vista,2,Entrância Inicial,Vargem Grande do Sul,192.63,220V,"Avenida Walter Tatoni , 343 - Vila Sant'Ana",13880-000,Vargem Grande do Sul,SP
307,Desembargador HELIO DE QUADROS ARRUDA,Não Informado,Não Informado,vgpaulistaadm@tjsp.jus.br,Itapecerica da Serra,1,Entrância Inicial,Vargem Grande Paulista,40.21,110V,"Avenida Miranda , 25 - Jd. Verona",06735-020,Vargem Grande Paulista,SP
308,Fórum da Comarca de Várzea Paulista I,(11) 3378-6465,Não Informado,varzeaptaadm@tjsp.jus.br,Jundiaí,2,Entrância Inicial,Várzea Paulista,42.29,220V,"Av. Fernão Dias Paes Leme , 2323 - V.Santa Terezinha",13220-005,Várzea Paulista,SP
309,Fórum Juiz João Mendes,(19) 3399-8953,Não Informado,vinhedoadm@tjsp.jus.br,Jundiaí,3,Entrância Intermediária,Vinhedo,67.2,220V,"Estrada da Boiada , 530 - Jardim Brasil",13289-084,Vinhedo,SP
310,Gabriel Custódio da Silveira,(17) 3392-8902,Não Informado,viradouroadm@tjsp.jus.br,Barretos,1,Entrância Inicial,Viradouro,343.06,110V,"Rua José Borelli , 10 - Jardim São Francisco",14740-180,Viradouro,SP
311,Fórum Votorantim,(15) 3415-4601,Não Informado,votorantimadm@tjsp.jus.br,Sorocaba,3,Entrância Intermediária,Votorantim,81.75,110V,"Avenida Luiz do Patrocínio Fernandes , 762 - Rio Acima",18114-001,Votorantim,SP
312,Fórum Votuporanga I,(17) 2101-1127,Não Informado,votuporangaadm@tjsp.jus.br,Votuporanga,7,Entrância Final,Votuporanga,488.94,110V,"Rua Espírito Santo , 2497 - Cia Melhoramentos",15501-221,Votuporanga,SP
313,Fórum Brás (Inativado) (Varas Especiais da Infância e Juventude),(11) 4503-9663,Não Informado,Não Informado,Não Informado,0,Não Informado,Não Informado,,Não Informado,"Rua Piratininga , N° 105 - Brás urb/sp",03042-001,São Paulo,SP
314,Fórum Criminal Complexo Judiciário Ministro Mário Guimarães - Barra Funda,Não Informado,Não Informado,admfmmg@tjsp.jus.br,São Paulo,58,Não Informado,São Paulo,0.0,220V,"Avenida Doutor Abraão Ribeiro , 313 - Barra Funda",01133-020,São Paulo,SP
315,Fórum João Mendes Júnior,Não Informado,Não Informado,Não Informado,São Paulo,70,Não Informado,São Paulo,0.0,110V,"Pça João Mendes , s/n - Centro",01501-000,São Paulo,SP
316,Fórum Hely Lopes Meirelles - (Fazenda Pública),(11) 3489-6525,Não Informado,Não Informado,São Paulo,24,Não Informado,São Paulo,0.0,110V,"Viaduto Dona Paulina , n° 80 - Centro",01501-020,São Paulo,SP
317,Fórum Santana,Não Informado,Não Informado,Não Informado,São Paulo,20,Não Informado,São Paulo,0.0,110V,"Avenida Engenheiro Caetano Alvares , 594 - Casa Verde",02520-310,São Paulo,SP
318,Foro Regional II - Santo Amaro - Prédio Adolfo Pinheiro,(11) 3246-9431,Não Informado,admfrsantoamaro@tjsp.jus.br,São Paulo,4,Não Informado,São Paulo,0.0,220V,"Avenida Adolfo Pinheiro , 1992 - Santo Amaro",04734-003,São Paulo,SP
319,Foro Regional III - Jabaquara/Saúde,(11) 3489-4054,Não Informado,Não Informado,São Paulo,25,Não Informado,São Paulo,0.0,110V,"Rua Afonso Celso , 1065 - Vila Mariana",04119-061,São Paulo,SP
320,Fórum Regional IV Lapa I,(11) 2868-6871,(11) 2868-6875,Não Informado,São Paulo,9,Não Informado,São Paulo,0.0,110V,"Rua Clemente Álvares , 100 - .Lapa",05074-050,São Paulo,SP
321,"Fórum Reg. IX - Vila Prudente - Foro ""Desembargador Gentil do Carmo Pinto""",(11) 3489-4702,Não Informado,Não Informado,São Paulo,7,Não Informado,São Paulo,0.0,110V,"Avenida Sapopemba , 3.740 - Vila Diva",03345-000,São Paulo,SP
322,Fórum São Miguel Paulista,Não Informado,Não Informado,admfrsaomiguel@tjsp.jus.br,São Paulo,23,Não Informado,São Paulo,0.0,220V,"Av. Afonso Lopes de Baião , 1736 - São Miguel Paulista - Capital",08040-000,São Paulo,SP
323,Fórum Regional VII - Itaquera,(11) 3489-2234,Não Informado,admfritaquera@tjsp.jus.br,São Paulo,12,Não Informado,São Paulo,0.0,220V,"Avenida Pires do Rio , 3.915 - Itaquera",08240-005,São Paulo,SP
324,Fórum Tatuapé,Não Informado,Não Informado,Não Informado,São Paulo,10,Não Informado,São Paulo,0.0,220V,"Rua Santa Maria , 257 - Tatuapé",03085-000,São Paulo,SP
325,Fórum Ipiranga,(11) 3489-2842,Não Informado,admfripiranga@tjsp.jus.br,São Paulo,6,Não Informado,São Paulo,0.0,110V,"Rua Agostinho Gomes , 1455/1457 - Ipiranga",04206-000,São Paulo,SP
326,Fórum Regional XI - Pinheiros,(11) 3489-3620,(11) 3489-3620,admfrpinheiros@tjsp.jus.br,São Paulo,17,Não Informado,São Paulo,0.0,110V,"Rua Jericó s/ nº ,  - Vila Madalena",05435-040,São Paulo,SP
327,Tribunal de Justiça - Pátio do Colégio,(11) 3489-3860,Não Informado,admpatiocolegio@tjsp.jus.br,São Paulo,0,Não Informado,São Paulo,0.0,110V,"Pátio do Colégio , 73 - Centro",01016-040,São Paulo,SP
328,Tribunal de Justiça - Palácio da Justiça,(11) 4802-9188,Não Informado,Não Informado,São Paulo,2,Não Informado,São Paulo,0.0,110V,"Praça da Sé , s/n - Centro",01018-010,São Paulo,SP
329,Complexo Judiciário Ipiranga (Desativado),(11) 2711-7650,Não Informado,Não Informado,Não Informado,0,Não Informado,Não Informado,,Não Informado,"Praça Nami Jafet , 235 - Ipiranga",04202-001,São Paulo,SP
330,Fórum de Campinas - Cidade Judiciária,(19) 2101-3121,Não Informado,campinasadm@tjsp.jus.br,Campinas,37,Entrância Final,Campinas,83.55,110V,"Avenida Francisco Xavier de Arruda Camargo , 300 - Jardim Santana",13088-901,Campinas,SP
331,Fórum Maracaí II - Juizado Especial Cível e Criminal e CEJUSC,(18) 3371-1451,Não Informado,Não Informado,Assis,0,Entrância Inicial,Maracaí,425.27,220V,"Rua Nove de Julho , 139 - Centro",19840-000,Maracaí,SP
333,Fórum Tanabi (Juizado Especial Cível e Criminal),Não Informado,(17) 2221-5158,tanabiadm@tjsp.jus.br,São José do Rio Preto,2,Entrância Inicial,Tanabi,449.32,110V,"Praça Stélio Machado Loureiro , s/n - Centro",15170-000,Tanabi,SP
334,Desocupado,Não Informado,(14) 3733-3212,avaresadm@tjsp.jus.br,Não Informado,0,Não Informado,Não Informado,,Não Informado,"PRAÇA PAULO GOMES DE OLIVEIRA , 57 - CENTRO",18701030,Avaré,SP
335,Fórum Votuporanga II - (Anexo Fiscal),(17) 2101-1201,Não Informado,Não Informado,Votuporanga,0,Entrância Final,Votuporanga,488.94,110V,"Rua São Paulo , 3431 - centro",15500-000,Votuporanga,SP
336,Fórum Olímpia II (3ª Vara Cível),(17) 2190-5301,(17) 2190-5302,Não Informado,Barretos,1,Entrância Intermediária,Olímpia,390.85,110V,"Rua Duque de Caxias , 466 - Patrimônio de São João Batista",15400-095,Olímpia,SP
